,communityName,state,householsize,agePct12t29,agePct65up,pctWSocSec,pctWPubAsst,PctUsePubTrans,PctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,PersPerFam,PctFam2Par,PctWorkMom,PctKidsBornNeverMar,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,LemasPctOfficDrugUn,ViolentCrimesPerPop,has_pp_access,PctFedEduFunding,PctStateEduFunding
36,Apache Junction,AZ,2.35,19.4,24.95,45.6,6.29,0.29,16.72,29.89,7.25,6.82,13.27,16.77,17.01,14.72,2.75,69.07,73.61,1.27,0.2792817679558011,60.38,76.94,5.66,25.74,0.0,0.38909,0,8.72,58.10666666666666
37,Apple Valley,MN,3.1,26.78,2.29,7.31,2.3,2.11,3.49,4.59,36.59,3.49,17.18,21.47,7.56,33.52,3.41,86.28,76.02,1.25,0.011359038094687555,96.59,87.38,0.51,27.99,0.0,0.67362,0,6.7,68.23
38,Appleton,WI,2.62,27.16,11.21,26.7,5.41,2.01,7.09,15.51,23.84,3.85,25.48,24.79,15.82,28.9,3.1,80.78,73.23,0.97,0.011054346084696584,97.19,66.15,0.81,39.13,0.0,0.06414,1,3.07,41.73
39,Arcadia,CA,2.63,24.44,14.51,26.65,3.58,1.76,5.23,11.12,36.39,3.63,12.06,26.9,4.91,41.76,3.1,80.37,59.63,0.89,0.023420998136260095,94.19,61.57,2.92,24.14,0.0,0.39876,0,5.09,49.83
40,Arcata,CA,2.5,45.34,8.78,20.43,8.81,1.2,28.12,14.28,36.89,9.44,11.52,32.8,12.16,28.56,2.87,61.38,66.3,2.57,0.015068763571757583,96.37,43.17,0.44,18.78,0.0,0.39927999999999997,0,6.36,58.8
41,Ardmore,OK,2.49,23.15,16.92,34.66,9.21,0.18,22.03,28.02,15.81,7.81,13.08,25.91,16.22,23.71,2.99,67.45,68.34,3.69,0.05884137094328177,87.22,66.56,1.55,50.59,0.0,0.7245199999999999,0,9.15,56.785
42,Arkadelphia,AR,2.9,41.51,12.97,31.32,9.95,0.62,28.09,27.6,29.64,5.68,9.69,45.53,12.03,31.93,2.91,63.78,71.7,5.94,0.028659876173357298,92.33,54.7,1.74,45.99,0.0,0.04711,0,8.28,56.35
43,Arlington,TX,2.6,32.78,4.58,11.05,2.71,0.14,8.21,12.19,29.99,4.99,18.91,18.97,10.6,30.91,3.14,78.19,71.53,1.89,0.0462935721627229,89.26,51.84,1.81,27.45,3.0070189247328263e-05,0.77277,1,4.64,28.5
44,Arnold,MO,2.83,28.34,7.71,21.61,2.87,0.79,5.38,28.19,9.17,5.69,19.36,19.13,17.15,19.51,3.17,77.99,74.27,0.72,0.017102188230295304,95.39,78.54,0.31,29.19,0.0,0.39986,0,3.66,47.77
45,Arroyo Grande,CA,2.51,21.03,17.98,36.54,6.98,0.73,8.35,16.06,19.4,5.14,7.99,20.68,8.94,27.33,2.95,77.92,70.92,1.88,0.02329948532480178,94.47,68.24,0.3,29.55,0.0,0.69631,0,6.34,37.03
46,Artesia,NM,2.71,24.37,13.85,34.95,9.45,0.28,21.38,35.28,12.06,7.07,7.29,22.23,18.55,24.06,3.2,75.22,57.75,3.37,0.05598491988689915,86.83,71.07,3.7,72.73,0.0,0.29257,0,7.085,68.24000000000001
47,Arvada,CO,2.73,25.69,7.05,16.93,3.13,3.07,6.28,11.62,25.05,5.17,16.2,21.22,11.07,29.84,3.13,77.88,76.8,1.57,0.02013783829214994,94.8,72.76,7.85,30.22,6.824676416204404e-05,0.26681,1,2.685,45.0575
48,Asbury Park,NJ,2.44,26.78,13.98,32.81,14.95,8.57,23.33,31.25,13.53,11.82,15.43,26.09,19.74,19.07,3.28,35.83,71.24,21.31,0.04887195666408715,89.33,23.05,5.6,25.94,0.0,2.05279,0,1.77,26.48
49,Asheboro,NC,2.35,25.06,17.44,32.4,6.27,0.0,12.84,34.52,15.32,3.91,40.56,18.87,28.06,21.13,2.84,65.15,80.26,4.44,0.0297640875198631,93.48,57.62,1.85,31.01,0.0,0.62809,0,5.26,65.85
50,Asheville,NC,2.28,23.63,17.66,36.99,7.92,2.66,15.87,24.92,22.99,5.56,17.5,26.52,15.25,27.65,2.84,61.77,74.28,4.71,0.043598941678705344,90.96,56.64,2.08,42.52,0.0,0.69728,1,5.902,57.166
51,Ashland,MA,2.62,24.69,8.92,18.71,4.0,3.31,1.92,10.6,36.21,5.21,18.76,24.15,8.71,39.82,3.06,82.36,71.8,1.52,0.017735786507541852,95.56,74.0,1.4,18.22,0.0,0.3518,1,7.456666666666667,48.715
52,Aston,PA,2.93,25.04,11.65,27.68,4.84,1.82,3.15,19.5,20.47,3.4,22.33,22.52,12.76,27.78,3.26,84.63,77.18,0.81,0.007360742705570291,97.89,88.99,1.8,33.33,0.0,0.26732999999999996,0,4.13,25.66
53,Astoria,OR,2.39,24.42,14.52,30.51,7.12,0.81,16.46,18.0,16.36,6.09,20.05,20.5,20.52,22.35,2.95,68.16,65.48,1.79,0.04121561227530043,91.04,50.9,4.58,36.39,0.0,0.29897,0,5.52,48.93
54,Atascadero,CA,2.73,24.41,10.08,23.2,7.91,0.21,7.84,13.72,20.63,4.02,8.06,29.17,9.81,25.94,3.12,76.0,71.63,1.27,0.016898608349900597,95.59,63.3,1.02,23.79,0.0,0.33261,0,3.51,40.41
55,Athens,AL,2.54,26.18,13.57,29.37,8.64,0.08,14.4,33.7,20.39,6.03,27.41,19.41,17.77,29.23,3.04,75.03,66.87,2.74,0.03603337080646116,91.62,63.06,2.3,22.33,0.0,0.55688,1,6.3149999999999995,48.3125
56,Athol,MA,2.61,24.33,14.56,30.79,10.04,0.32,11.67,24.91,12.28,10.77,33.51,23.31,21.83,18.25,3.13,74.33,62.95,2.14,0.04025849270806043,90.48,69.72,1.74,60.09,0.0,1.0646300000000002,0,3.62,78.74
57,Atlanta,GA,2.53,30.26,9.99,23.4,13.64,20.4,27.29,30.13,26.65,9.13,9.41,25.11,13.9,28.82,3.18,40.37,63.98,15.55,0.06853003804404378,85.22,43.1,12.77,34.35,1.4720177048198428e-05,4.026590000000001,1,4.937368421052632,29.59842105263158
58,Atlantic City,NJ,2.41,26.47,16.65,35.52,14.85,25.65,24.97,41.66,9.55,9.63,4.44,14.45,9.09,15.58,3.13,32.24,69.18,19.29,0.15518875375138208,72.74,30.4,13.66,57.59,0.0,3.58348,0,5.55,18.35
59,Atwater,CA,3.1,30.15,6.14,16.76,13.51,0.39,12.58,22.86,14.05,7.84,11.73,27.79,15.87,21.66,3.42,75.03,68.35,2.8,0.010456871016964365,96.86,49.19,2.58,19.31,0.0,0.71112,0,10.82,67.43
60,Auburn,ME,2.55,25.93,13.12,28.72,8.12,0.58,10.91,23.27,19.08,6.69,22.48,26.65,16.71,25.48,3.01,71.75,72.69,3.01,0.03533670656958328,91.75,56.97,1.75,42.49,0.0,0.07271,0,4.0285714285714285,51.364285714285714
61,Augusta,GA,2.37,27.23,16.73,36.96,17.75,4.0,33.31,42.8,17.41,9.64,13.82,32.35,15.44,23.36,3.07,38.93,61.23,12.16,0.06203095947489863,87.17,42.85,4.91,57.93,0.00021416250364031454,0.84539,0,8.613333333333333,55.75333333333333
62,Aurora,IL,2.95,30.92,7.48,19.87,5.63,3.37,10.54,28.76,18.61,6.05,29.37,18.15,21.83,21.6,3.45,73.65,70.17,7.25,0.01919040780871853,94.64,61.42,6.96,23.55,0.0,1.80731,1,3.470714285714286,42.699999999999996
63,Austin,TX,2.42,35.98,6.63,14.21,4.5,5.04,17.93,17.67,34.4,6.32,11.16,28.83,8.36,34.29,3.09,68.53,73.16,4.49,0.05348974060504014,88.53,40.58,6.05,39.57,5.9490316179218335e-06,0.59978,1,6.997714285714285,26.216857142857144
64,Avondale,AZ,3.29,30.79,6.51,15.52,16.57,0.71,28.22,42.85,9.37,11.09,15.68,17.33,19.07,17.95,3.68,67.21,56.19,5.48,0.04094254437503866,88.13,60.91,4.53,18.88,0.0,0.78132,0,10.3,47.17
65,Azusa,CA,3.27,35.99,6.46,18.64,12.24,2.57,14.28,37.27,12.14,8.28,24.07,18.72,21.83,17.57,3.65,69.33,62.26,5.59,0.014056564972298164,95.61,48.16,1.72,21.86,0.0,0.6580499999999999,0,9.2,65.68
66,Bakersfield,CA,2.8,28.34,8.18,20.0,12.01,1.24,15.0,22.23,19.65,7.1,6.38,24.87,11.56,27.63,3.26,68.83,62.77,5.23,0.021210387827479693,94.4,55.12,4.1,20.69,6.0576593067154784e-05,0.97437,1,7.867272727272726,56.76454545454545
67,Balch Springs,TX,3.15,31.69,5.22,14.61,6.28,1.05,13.67,35.63,5.85,5.17,18.35,12.28,18.41,14.4,3.44,71.45,67.64,2.38,0.04159485234976445,88.4,58.71,6.08,33.7,0.0,2.00828,0,3.84,53.62
68,Baldwin Park,CA,4.17,34.53,5.16,15.9,13.71,4.11,15.69,49.5,9.68,8.45,29.68,14.55,29.28,13.25,4.33,73.13,58.82,7.15,0.008149430261070244,96.71,60.12,5.66,16.46,0.0,0.60442,0,10.37,67.64
69,Ballwin,MO,2.78,24.74,7.94,18.82,1.51,0.93,2.49,9.57,36.34,2.24,15.94,23.79,6.68,38.04,3.16,86.48,70.54,0.42,0.014163916391639164,96.21,76.75,0.97,19.74,0.0,0.07856,0,1.57,20.02
70,Baltimore,MD,2.66,27.66,12.39,28.9,16.45,22.19,21.87,39.35,15.47,9.16,12.27,28.59,15.66,23.37,3.24,43.59,67.18,15.29,0.03698570951096039,91.04,48.62,16.56,48.96,4.755344327689419e-06,3.0812600000000003,1,10.1525,55.145
71,Bangor,ME,2.48,30.69,11.85,26.11,9.42,1.55,14.98,16.49,24.45,5.78,7.76,33.3,9.62,30.82,2.91,66.48,70.87,2.94,0.02935414845845514,93.22,48.47,1.33,21.05,0.0,0.2248,0,5.04,41.55
72,Banning,CA,2.77,22.42,18.92,43.36,18.38,0.44,16.86,36.72,9.8,10.81,11.81,20.94,17.09,17.2,3.19,65.94,55.76,3.86,0.041176470588235294,89.77,65.46,3.07,29.04,0.0,0.89524,0,13.06,66.12
73,Barberton,OH,2.49,25.31,15.24,35.91,12.39,1.91,16.93,31.19,7.88,8.67,28.81,19.41,21.56,15.52,3.03,66.86,61.45,4.37,0.02349491365890743,94.47,64.26,3.39,42.84,0.0,0.73461,0,12.83,41.78
74,Barnegat,NJ,2.94,24.59,12.81,28.52,2.54,3.12,5.43,20.83,12.38,5.46,6.8,22.74,10.83,22.57,3.29,83.41,68.45,1.89,0.06040049039640376,84.92,87.87,1.49,45.87,0.0,0.10318000000000001,0,2.14,61.4
75,Barrington,RI,2.83,20.91,12.62,27.79,2.83,2.45,1.8,11.13,46.4,3.98,15.26,36.1,5.3,45.96,3.13,88.6,62.69,0.03,0.013376238248469934,96.36,89.04,1.89,54.72,0.0,0.08238,0,2.44,13.07
76,Barstow,CA,2.81,30.61,8.33,19.12,12.8,1.25,14.36,24.83,10.19,9.13,3.47,17.73,14.05,21.32,3.27,68.07,60.63,3.2,0.039959016393442626,89.92,52.92,2.56,21.91,0.0,1.04746,0,9.22,68.93
77,Bartlesville,OK,2.44,21.85,15.1,32.44,4.29,0.05,11.06,17.59,31.62,4.6,15.54,23.42,8.82,33.91,2.92,78.71,66.75,1.49,0.05531877627276973,88.09,71.42,2.69,57.99,0.0,0.49932,0,5.863333333333333,51.02666666666667
78,Bartlett,IL,3.04,26.09,4.5,11.79,1.32,6.95,2.58,9.84,28.37,3.57,18.79,16.73,9.78,32.29,3.36,88.88,69.75,1.89,0.015175760078459713,95.58,87.2,1.02,18.71,0.0,0.20432,0,2.24,25.03
79,Bartow,FL,2.74,26.32,15.36,34.29,8.94,0.49,16.42,33.43,12.03,6.16,17.3,22.68,17.71,20.84,3.07,61.62,73.03,5.45,0.034792063060614296,91.28,67.38,2.93,30.27,0.0009493068768687144,1.5174400000000001,0,8.33,58.64
80,Baton Rouge,LA,2.63,32.79,10.39,22.9,9.88,1.88,26.17,23.24,28.34,9.35,9.95,31.81,10.27,31.72,3.18,58.08,68.76,9.92,0.06274740241697073,85.82,52.83,13.02,54.72,1.539645881447267e-05,2.97869,1,9.777,47.679500000000004
81,Bay City,MI,2.5,26.49,14.05,33.89,15.24,1.55,18.06,30.0,9.41,13.52,20.53,24.45,19.0,20.01,3.1,66.08,63.85,2.52,0.020597904253133348,95.1,67.48,2.37,48.88,0.0,0.59236,0,7.04,62.473333333333336
82,Bayonne,NJ,2.43,24.3,17.37,36.13,5.56,17.23,8.79,29.95,16.61,5.88,15.92,19.27,14.89,25.08,3.06,72.52,64.52,2.44,0.018862704251025323,95.62,40.55,3.8,45.56,7.698066532126816e-05,0.48727,0,4.48,31.0
83,Beacon,NY,2.81,26.41,11.84,29.38,6.96,4.14,11.46,29.68,15.87,7.29,22.99,20.38,14.85,22.37,3.21,68.63,67.45,7.22,0.02401268594729291,93.69,59.52,4.4,48.74,0.0,0.65161,0,5.65,48.03
84,Beaumont,TX,2.64,26.61,12.31,29.05,9.41,1.4,21.15,24.84,19.72,7.84,14.4,28.61,12.62,27.05,3.16,64.9,68.15,5.03,0.04954383632339949,88.45,60.01,7.34,53.67,2.7990867979321746e-05,1.25099,0,10.161428571428573,21.645714285714284
85,Beaver Dam,WI,2.47,23.99,16.19,33.19,6.03,0.15,7.18,23.96,14.68,4.22,30.14,21.61,25.14,18.21,3.02,78.36,76.65,1.68,0.017328825021132713,95.9,63.28,0.0,31.71,0.0,0.26097000000000004,0,3.04,50.76
86,Beaver Falls,PA,2.53,27.7,17.47,43.23,20.54,2.1,26.75,33.44,9.01,12.86,15.43,36.38,18.15,17.56,2.98,54.27,59.16,5.35,0.042013661457845984,90.38,50.64,3.12,65.26,0.0,0.45687,0,4.12,51.32
87,Beaverton,OR,2.41,28.05,7.87,16.87,3.35,5.08,6.45,8.52,35.99,3.79,19.14,21.33,8.87,34.37,3.0,76.1,70.19,1.62,0.03719752391671356,91.77,46.98,0.35,4.99,0.0,0.31610000000000005,1,2.603333333333333,50.19
88,Beckley,WV,2.33,21.56,19.46,43.82,9.96,0.06,21.38,28.37,19.3,8.32,3.86,36.21,7.18,34.57,2.93,63.68,64.18,3.54,0.05842807170966331,88.01,61.65,3.93,65.86,0.0,1.19916,0,7.73,64.92
89,Bedford,TX,2.49,28.84,4.21,10.01,1.52,0.03,3.56,7.02,34.29,3.53,15.5,17.72,6.46,33.98,3.07,82.09,73.33,1.12,0.028837804487911886,93.3,54.96,0.08,10.54,0.0,0.18822,1,3.2939999999999996,40.494
90,Beech Grove,IN,2.44,27.18,14.68,32.75,4.15,1.2,5.2,23.02,10.44,4.41,18.5,22.54,16.86,18.74,2.94,73.57,68.71,1.67,0.020100127026825076,95.33,60.86,0.37,19.33,0.0,0.16734000000000002,0,2.42,51.99
91,Beeville,TX,2.89,30.01,10.42,26.44,13.05,0.0,30.32,39.63,12.4,12.12,8.22,25.16,10.63,20.87,3.46,67.76,60.14,2.35,0.0592012991806304,85.39,58.39,5.61,67.21,0.0,0.69117,0,9.78,69.23
92,Bell Gardens,CA,4.58,36.99,3.79,13.89,15.54,6.68,26.08,73.66,1.72,13.37,35.96,9.99,41.63,6.87,4.64,68.79,47.29,9.09,0.00713020894817613,96.84,22.52,2.65,23.18,0.0,1.3131700000000002,0,10.24,65.28
93,Bellaire,TX,2.35,18.3,13.57,25.19,0.73,1.11,3.33,7.59,48.93,2.69,8.73,31.56,3.65,48.83,2.86,78.29,74.41,0.32,0.023045802629677793,94.85,75.35,1.25,32.6,0.0,0.34797,0,9.73,28.95
94,Bellefontaine,OH,2.55,28.5,11.75,26.66,10.25,0.21,13.44,26.3,9.82,7.89,32.8,17.58,25.53,16.76,3.1,70.23,71.37,1.99,0.03030802174271125,92.82,59.03,1.36,32.07,0.0,0.25988,0,4.76,39.09
95,Bellevue,WA,2.43,26.4,9.53,18.85,2.87,6.81,5.58,5.82,45.65,3.03,17.03,22.11,6.06,39.81,2.94,79.33,66.89,1.11,0.01924626470520524,95.53,58.22,0.36,8.85,7.033174482583973e-05,0.22306,1,2.5,52.77
96,Bellflower,CA,2.7,28.98,9.83,21.6,9.27,2.49,9.62,27.66,11.97,5.88,23.63,18.07,17.31,20.36,3.21,66.62,66.57,5.16,0.019606891531181753,94.97,39.56,1.57,14.69,0.0,1.70741,0,8.21,63.03
97,Bellingham,WA,2.46,35.4,12.01,25.42,6.3,3.14,16.68,14.77,28.16,4.73,12.22,27.81,12.03,27.08,2.87,69.13,69.73,2.3,0.017727438241438128,95.82,50.94,2.38,26.05,0.0,0.33931,1,4.0225,61.6325
98,Bellmawr,NJ,2.69,26.54,14.1,31.51,3.96,4.26,4.34,32.12,8.25,5.28,16.64,14.95,16.59,15.3,3.13,75.49,67.85,1.68,0.008728080615726415,97.7,69.33,4.55,24.55,0.0,0.08102,1,4.23,32.07
99,Belmont,MA,2.56,23.99,15.82,30.84,2.73,13.26,3.64,8.35,54.74,3.87,11.82,42.0,3.66,53.1,3.04,84.64,63.35,0.31,0.012297734627831715,96.95,59.59,0.99,32.24,0.0,0.039020000000000006,0,2.77,21.44
100,Beloit,WI,2.67,28.01,11.98,29.69,15.04,1.05,17.55,27.57,11.31,8.36,38.49,21.56,25.24,21.11,3.11,62.21,71.49,7.11,0.020408736963427317,94.83,60.18,3.86,46.28,0.0,0.34381,0,5.49,63.66
101,Belton,MO,2.84,28.87,6.3,15.45,3.95,0.28,6.79,19.47,11.63,5.53,17.26,18.7,16.42,18.76,3.23,78.29,72.13,1.15,0.025399449035812673,93.27,68.95,0.22,22.56,0.0,0.20124,0,5.98,58.92
102,Bend,OR,2.4,27.04,11.76,24.17,5.1,0.4,13.15,14.69,23.02,4.24,16.82,21.53,15.58,26.85,2.92,70.49,75.54,1.86,0.023352386535736968,94.69,54.12,1.46,17.99,0.0,0.5004700000000001,1,4.153333333333333,47.943333333333335
