communityName,state,population,householsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,pctWSocSec,pctWPubAsst,PctUsePubTrans,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,PctKidsBornNeverMar,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,LemasPctOfficDrugUn,ViolentCrimesPerPop,has_pp_access,PctFedEduFunding,PctStateEduFunding,PctLocalEduFunding
Antioch,CA,62195,2.91,13.91,27.25,12.17,6.93,17.7,8.91,2.14,9.12,5.72,17.42,14.87,6.63,66.64,15.7,17.98,12.81,23.19,3.25,74.43,72.07,81.17,76.77,56.68,66.64,3.42,0.025275343677144464,93.16,64.33,1.21,11.32,0.0,720.85,1,4.25,54.8,40.94
Apache Junction,AZ,18100,2.35,10.48,19.4,8.8,24.95,45.6,6.29,0.29,16.72,10.37,29.89,7.25,6.82,45.31,13.27,16.77,17.01,14.72,2.75,69.07,65.32,73.92,74.11,61.44,73.61,1.27,0.2792817679558011,60.38,76.94,5.66,25.74,0.0,389.09,0,8.72,58.10666666666666,33.17333333333334
Apple Valley,MN,34598,3.1,15.67,26.78,11.31,2.29,7.31,2.3,2.11,3.49,1.71,4.59,36.59,3.49,80.9,17.18,21.47,7.56,33.52,3.41,86.28,86.82,90.9,84.53,66.84,76.02,1.25,0.011359038094687555,96.59,87.38,0.51,27.99,0.0,673.62,0,6.7,68.23,25.06
Appleton,WI,56177,2.62,13.79,27.16,12.77,11.21,26.7,5.41,2.01,7.09,7.29,15.51,23.84,3.85,66.56,25.48,24.79,15.82,28.9,3.1,80.78,81.61,89.33,78.55,64.77,73.23,0.97,0.011054346084696584,97.19,66.15,0.81,39.13,0.0,64.14,1,3.07,41.73,55.20000000000001
Arcadia,CA,48290,2.63,13.88,24.44,12.17,14.51,26.65,3.58,1.76,5.23,4.69,11.12,36.39,3.63,60.14,12.06,26.9,4.91,41.76,3.1,80.37,79.64,91.71,83.75,47.09,59.63,0.89,0.023420998136260095,94.19,61.57,2.92,24.14,0.0,398.76,0,5.09,49.83,45.08
Arcata,CA,15197,2.5,24.16,45.34,31.54,8.78,20.43,8.81,1.2,28.12,4.66,14.28,36.89,9.44,53.91,11.52,32.8,12.16,28.56,2.87,61.38,60.14,71.33,53.4,54.29,66.3,2.57,0.015068763571757583,96.37,43.17,0.44,18.78,0.0,399.28,0,6.36,58.8,34.84
Ardmore,OK,23079,2.49,13.15,23.15,10.3,16.92,34.66,9.21,0.18,22.03,10.49,28.02,15.81,7.81,52.64,13.08,25.91,16.22,23.71,2.99,67.45,61.83,71.14,60.12,58.22,68.34,3.69,0.05884137094328177,87.22,66.56,1.55,50.59,0.0,724.52,0,9.15,56.785,34.065
Arkadelphia,AR,10014,2.9,27.36,41.51,31.31,12.97,31.32,9.95,0.62,28.09,12.71,27.6,29.64,5.68,53.74,9.69,45.53,12.03,31.93,2.91,63.78,58.4,64.27,63.94,62.84,71.7,5.94,0.028659876173357298,92.33,54.7,1.74,45.99,0.0,47.11,0,8.28,56.35,35.37
Arlington,TX,261721,2.6,14.18,32.78,15.14,4.58,11.05,2.71,0.14,8.21,3.71,12.19,29.99,4.99,74.65,18.91,18.97,10.6,30.91,3.14,78.19,75.99,87.64,76.69,63.48,71.53,1.89,0.0462935721627229,89.26,51.84,1.81,27.45,3.0070189247328263e-05,772.77,1,4.64,28.5,66.868
Arnold,MO,18828,2.83,14.73,28.34,13.54,7.71,21.61,2.87,0.79,5.38,13.23,28.19,9.17,5.69,67.52,19.36,19.13,17.15,19.51,3.17,77.99,74.84,86.9,77.08,67.35,74.27,0.72,0.017102188230295304,95.39,78.54,0.31,29.19,0.0,399.86,0,3.66,47.77,48.57
Arroyo Grande,CA,14378,2.51,11.73,21.03,9.62,17.98,36.54,6.98,0.73,8.35,4.22,16.06,19.4,5.14,57.03,7.99,20.68,8.94,27.33,2.95,77.92,75.46,84.54,77.99,62.71,70.92,1.88,0.02329948532480178,94.47,68.24,0.3,29.55,0.0,696.31,0,6.34,37.03,56.63
Artesia,NM,10610,2.71,14.11,24.37,11.0,13.85,34.95,9.45,0.28,21.38,18.77,35.28,12.06,7.07,52.54,7.29,22.23,18.55,24.06,3.2,75.22,69.46,70.66,80.31,43.17,57.75,3.37,0.05598491988689915,86.83,71.07,3.7,72.73,0.0,292.57,0,7.085,68.24000000000001,24.674999999999997
Arvada,CO,89235,2.73,14.29,25.69,11.86,7.05,16.93,3.13,3.07,6.28,3.07,11.62,25.05,5.17,72.09,16.2,21.22,11.07,29.84,3.13,77.88,76.34,84.11,79.31,68.02,76.8,1.57,0.02013783829214994,94.8,72.76,7.85,30.22,6.824676416204404e-05,266.81,1,2.685,45.0575,52.2575
Asbury Park,NJ,16799,2.44,12.54,26.78,12.35,13.98,32.81,14.95,8.57,23.33,11.2,31.25,13.53,11.82,57.89,15.43,26.09,19.74,19.07,3.28,35.83,30.39,27.43,32.23,56.95,71.24,21.31,0.04887195666408715,89.33,23.05,5.6,25.94,0.0,2052.79,0,1.77,26.48,71.75
Asheboro,NC,16362,2.35,11.86,25.06,12.9,17.44,32.4,6.27,0.0,12.84,16.42,34.52,15.32,3.91,63.82,40.56,18.87,28.06,21.13,2.84,65.15,60.5,73.75,76.68,69.94,80.26,4.44,0.0297640875198631,93.48,57.62,1.85,31.01,0.0,628.09,0,5.26,65.85,28.89
Asheville,NC,61607,2.28,12.07,23.63,11.89,17.66,36.99,7.92,2.66,15.87,9.4,24.92,22.99,5.56,56.48,17.5,26.52,15.25,27.65,2.84,61.77,56.96,71.49,64.54,65.77,74.28,4.71,0.043598941678705344,90.96,56.64,2.08,42.52,0.0,697.28,1,5.902,57.166,36.93
Ashland,MA,12066,2.62,10.31,24.69,10.91,8.92,18.71,4.0,3.31,1.92,3.23,10.6,36.21,5.21,74.57,18.76,24.15,8.71,39.82,3.06,82.36,80.32,95.87,85.8,63.43,71.8,1.52,0.017735786507541852,95.56,74.0,1.4,18.22,0.0,351.8,1,7.456666666666667,48.715,43.82666666666666
Aston,PA,15080,2.93,14.13,25.04,11.62,11.65,27.68,4.84,1.82,3.15,6.68,19.5,20.47,3.4,67.85,22.33,22.52,12.76,27.78,3.26,84.63,83.13,94.46,83.5,66.67,77.18,0.81,0.007360742705570291,97.89,88.99,1.8,33.33,0.0,267.33,0,4.13,25.66,70.21
Astoria,OR,10069,2.39,12.55,24.42,11.38,14.52,30.51,7.12,0.81,16.46,6.58,18.0,16.36,6.09,58.39,20.05,20.5,20.52,22.35,2.95,68.16,66.93,77.5,76.41,54.69,65.48,1.79,0.04121561227530043,91.04,50.9,4.58,36.39,0.0,298.97,0,5.52,48.93,45.55
Atascadero,CA,23138,2.73,13.29,24.41,10.87,10.08,23.2,7.91,0.21,7.84,3.49,13.72,20.63,4.02,67.09,8.06,29.17,9.81,25.94,3.12,76.0,74.14,82.98,75.04,61.68,71.63,1.27,0.016898608349900597,95.59,63.3,1.02,23.79,0.0,332.61,0,3.51,40.41,56.08
Athens,AL,16901,2.54,13.54,26.18,12.93,13.57,29.37,8.64,0.08,14.4,14.75,33.7,20.39,6.03,58.66,27.41,19.41,17.77,29.23,3.04,75.03,71.08,81.71,72.81,60.72,66.87,2.74,0.03603337080646116,91.62,63.06,2.3,22.33,0.0,556.88,1,6.3149999999999995,48.3125,45.375
Athol,MA,11451,2.61,12.85,24.33,10.79,14.56,30.79,10.04,0.32,11.67,8.78,24.91,12.28,10.77,56.14,33.51,23.31,21.83,18.25,3.13,74.33,73.06,83.07,76.38,53.02,62.95,2.14,0.04025849270806043,90.48,69.72,1.74,60.09,0.0,1064.63,0,3.62,78.74,17.65
Atlanta,GA,394017,2.53,14.88,30.26,15.75,9.99,23.4,13.64,20.4,27.29,10.96,30.13,26.65,9.13,56.97,9.41,25.11,13.9,28.82,3.18,40.37,33.2,42.95,43.91,56.8,63.98,15.55,0.06853003804404378,85.22,43.1,12.77,34.35,1.4720177048198428e-05,4026.59,1,4.937368421052632,29.59842105263158,65.46447368421053
Atlantic City,NJ,37986,2.41,12.32,26.47,12.98,16.65,35.52,14.85,25.65,24.97,15.95,41.66,9.55,9.63,55.72,4.44,14.45,9.09,15.58,3.13,32.24,26.11,38.21,30.64,62.47,69.18,19.29,0.15518875375138208,72.74,30.4,13.66,57.59,0.0,3583.48,0,5.55,18.35,76.1
Atwater,CA,22282,3.1,14.68,30.15,13.19,6.14,16.76,13.51,0.39,12.58,10.39,22.86,14.05,7.84,64.55,11.73,27.79,15.87,21.66,3.42,75.03,72.09,79.13,73.38,63.38,68.35,2.8,0.010456871016964365,96.86,49.19,2.58,19.31,0.0,711.12,0,10.82,67.43,21.75
Auburn,ME,24309,2.55,13.27,25.93,12.62,13.12,28.72,8.12,0.58,10.91,10.24,23.27,19.08,6.69,61.75,22.48,26.65,16.71,25.48,3.01,71.75,71.04,75.0,74.09,64.31,72.69,3.01,0.03533670656958328,91.75,56.97,1.75,42.49,0.0,72.71,0,4.0285714285714285,51.364285714285714,44.60285714285715
Augusta,GA,44639,2.37,13.34,27.23,13.67,16.73,36.96,17.75,4.0,33.31,20.83,42.8,17.41,9.64,45.99,13.82,32.35,15.44,23.36,3.07,38.93,32.08,42.31,40.72,53.82,61.23,12.16,0.06203095947489863,87.17,42.85,4.91,57.93,0.00021416250364031454,845.39,0,8.613333333333333,55.75333333333333,35.64
Aurora,IL,99581,2.95,14.69,30.92,13.99,7.48,19.87,5.63,3.37,10.54,13.42,28.76,18.61,6.05,68.77,29.37,18.15,21.83,21.6,3.45,73.65,68.84,79.46,77.18,63.82,70.17,7.25,0.01919040780871853,94.64,61.42,6.96,23.55,0.0,1807.31,1,3.470714285714286,42.699999999999996,53.82928571428572
Austin,TX,465622,2.42,16.73,35.98,19.84,6.63,14.21,4.5,5.04,17.93,7.84,17.67,34.4,6.32,67.27,11.16,28.83,8.36,34.29,3.09,68.53,64.23,78.72,67.33,67.2,73.16,4.49,0.05348974060504014,88.53,40.58,6.05,39.57,5.9490316179218335e-06,599.78,1,6.997714285714285,26.216857142857144,66.78657142857143
Avondale,AZ,16169,3.29,17.0,30.79,14.96,6.51,15.52,16.57,0.71,28.22,27.72,42.85,9.37,11.09,55.0,15.68,17.33,19.07,17.95,3.68,67.21,58.91,66.44,69.57,52.38,56.19,5.48,0.04094254437503866,88.13,60.91,4.53,18.88,0.0,781.32,0,10.3,47.17,42.53
Azusa,CA,41333,3.27,16.8,35.99,18.99,6.46,18.64,12.24,2.57,14.28,18.49,37.27,12.14,8.28,64.44,24.07,18.72,21.83,17.57,3.65,69.33,62.64,78.29,69.02,59.98,62.26,5.59,0.014056564972298164,95.61,48.16,1.72,21.86,0.0,658.05,0,9.2,65.68,25.12
Bakersfield,CA,174820,2.8,14.31,28.34,13.09,8.18,20.0,12.01,1.24,15.0,8.09,22.23,19.65,7.1,62.05,6.38,24.87,11.56,27.63,3.26,68.83,65.04,72.06,72.63,51.73,62.77,5.23,0.021210387827479693,94.4,55.12,4.1,20.69,6.0576593067154784e-05,974.37,1,7.867272727272726,56.76454545454545,35.36818181818182
Balch Springs,TX,17406,3.15,16.3,31.69,14.82,5.22,14.61,6.28,1.05,13.67,13.37,35.63,5.85,5.17,70.19,18.35,12.28,18.41,14.4,3.44,71.45,65.75,80.85,70.67,60.71,67.64,2.38,0.04159485234976445,88.4,58.71,6.08,33.7,0.0,2008.28,0,3.84,53.62,42.54
Baldwin Park,CA,69330,4.17,18.77,34.53,17.32,5.16,15.9,13.71,4.11,15.69,27.25,49.5,9.68,8.45,60.27,29.68,14.55,29.28,13.25,4.33,73.13,64.84,78.59,76.92,54.44,58.82,7.15,0.008149430261070244,96.71,60.12,5.66,16.46,0.0,604.42,0,10.37,67.64,21.99
Ballwin,MO,21816,2.78,13.3,24.74,10.96,7.94,18.82,1.51,0.93,2.49,2.92,9.57,36.34,2.24,72.85,15.94,23.79,6.68,38.04,3.16,86.48,86.38,95.55,89.53,60.39,70.54,0.42,0.014163916391639164,96.21,76.75,0.97,19.74,0.0,78.56,0,1.57,20.02,78.42
Baltimore,MD,736014,2.66,13.23,27.66,13.55,12.39,28.9,16.45,22.19,21.87,14.81,39.35,15.47,9.16,55.11,12.27,28.59,15.66,23.37,3.24,43.59,35.52,49.34,46.07,59.06,67.18,15.29,0.03698570951096039,91.04,48.62,16.56,48.96,4.755344327689419e-06,3081.26,1,10.1525,55.145,34.7125
Bangor,ME,33181,2.48,14.56,30.69,16.58,11.85,26.11,9.42,1.55,14.98,5.83,16.49,24.45,5.78,61.64,7.76,33.3,9.62,30.82,2.91,66.48,64.93,76.49,75.56,65.33,70.87,2.94,0.02935414845845514,93.22,48.47,1.33,21.05,0.0,224.8,0,5.04,41.55,53.41
Banning,CA,20570,2.77,12.51,22.42,10.59,18.92,43.36,18.38,0.44,16.86,13.25,36.72,9.8,10.81,42.67,11.81,20.94,17.09,17.2,3.19,65.94,62.07,71.03,78.93,42.92,55.76,3.86,0.041176470588235294,89.77,65.46,3.07,29.04,0.0,895.24,0,13.06,66.12,20.82
Barberton,OH,27623,2.49,13.24,25.31,12.11,15.24,35.91,12.39,1.91,16.93,8.47,31.19,7.88,8.67,51.76,28.81,19.41,21.56,15.52,3.03,66.86,64.74,66.61,70.4,48.26,61.45,4.37,0.02349491365890743,94.47,64.26,3.39,42.84,0.0,734.61,0,12.83,41.78,45.39
Barnegat,NJ,12235,2.94,14.66,24.59,10.53,12.81,28.52,2.54,3.12,5.43,6.01,20.83,12.38,5.46,58.32,6.8,22.74,10.83,22.57,3.29,83.41,81.99,93.24,83.15,55.57,68.45,1.89,0.06040049039640376,84.92,87.87,1.49,45.87,0.0,103.18,0,2.14,61.4,36.46
Barrington,RI,15849,2.83,12.8,20.91,10.13,12.62,27.79,2.83,2.45,1.8,2.91,11.13,46.4,3.98,64.35,15.26,36.1,5.3,45.96,3.13,88.6,88.22,96.4,88.43,51.25,62.69,0.03,0.013376238248469934,96.36,89.04,1.89,54.72,0.0,82.38,0,2.44,13.07,84.49
Barstow,CA,21472,2.81,15.3,30.61,14.79,8.33,19.12,12.8,1.25,14.36,8.72,24.83,10.19,9.13,58.67,3.47,17.73,14.05,21.32,3.27,68.07,61.36,71.67,68.96,46.16,60.63,3.2,0.039959016393442626,89.92,52.92,2.56,21.91,0.0,1047.46,0,9.22,68.93,21.85
Bartlesville,OK,34256,2.44,12.56,21.85,10.15,15.1,32.44,4.29,0.05,11.06,6.18,17.59,31.62,4.6,57.3,15.54,23.42,8.82,33.91,2.92,78.71,76.54,81.15,79.93,63.24,66.75,1.49,0.05531877627276973,88.09,71.42,2.69,57.99,0.0,499.32,0,5.863333333333333,51.02666666666667,43.11000000000001
Bartlett,IL,19373,3.04,13.18,26.09,10.61,4.5,11.79,1.32,6.95,2.58,2.85,9.84,28.37,3.57,78.04,18.79,16.73,9.78,32.29,3.36,88.88,87.65,95.21,93.08,59.52,69.75,1.89,0.015175760078459713,95.58,87.2,1.02,18.71,0.0,204.32,0,2.24,25.03,72.73
